GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PixelForum,es.codeurjc.backend.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
PixelForum,es.codeurjc.backend.config,CorsConfig.new WebMvcConfigurer() {...},0,44,0,0,0,6,0,2,0,2
PixelForum,es.codeurjc.backend.dto.user,BasicUserDTO,0,12,0,0,0,1,0,1,0,1
PixelForum,es.codeurjc.backend.dto.user,UserDTO,0,24,0,0,0,1,0,1,0,1
PixelForum,es.codeurjc.backend.dto.user,UserMapperImpl,87,68,15,3,24,22,11,2,2,2
PixelForum,es.codeurjc.backend.dto.comment,CommentDTO,30,0,0,0,1,0,1,0,1,0
PixelForum,es.codeurjc.backend.dto.comment,CommentMapperImpl,163,3,16,0,48,1,11,1,3,1
PixelForum,es.codeurjc.backend.dto.topic,TopicDTO,12,0,0,0,1,0,1,0,1,0
PixelForum,es.codeurjc.backend.dto.topic,TopicMapperImpl,84,3,10,0,25,1,8,1,3,1
PixelForum,es.codeurjc.backend.controller.rest,PostRestController,20,145,0,4,0,33,4,9,4,7
PixelForum,es.codeurjc.backend.controller.rest,TopicRestController,15,10,0,0,3,4,2,2,2,2
PixelForum,es.codeurjc.backend.controller.rest,UserRestController,51,9,0,0,9,4,5,1,5,1
PixelForum,es.codeurjc.backend.controller.rest,ImageRestController,16,95,4,6,2,22,6,5,2,4
PixelForum,es.codeurjc.backend.model,Topic,0,33,0,0,0,15,0,8,0,8
PixelForum,es.codeurjc.backend.model,Image,4,58,0,0,2,24,1,13,1,13
PixelForum,es.codeurjc.backend.model,User,16,79,0,0,8,27,4,14,4,14
PixelForum,es.codeurjc.backend.model,Comment,63,3,0,0,27,1,18,1,18,1
PixelForum,es.codeurjc.backend.model,Post,22,114,0,0,5,42,1,22,1,22
PixelForum,es.codeurjc.backend.security,CSRFHandlerInterceptor,13,6,3,1,3,3,2,2,0,2
PixelForum,es.codeurjc.backend.security,RepositoryUserDetailsService,0,52,0,2,0,10,0,4,0,3
PixelForum,es.codeurjc.backend.security,CSRFHandlerConfiguration,0,10,0,0,0,3,0,2,0,2
PixelForum,es.codeurjc.backend.security,SecurityConfig,0,268,0,0,0,40,0,8,0,8
PixelForum,es.codeurjc.backend.controller.auth,LoginController,0,35,0,0,0,8,0,5,0,5
PixelForum,es.codeurjc.backend.dto.post,PostMapperImpl,55,163,9,9,15,49,7,8,1,5
PixelForum,es.codeurjc.backend.dto.post,PostDTO,0,33,0,0,0,1,0,1,0,1
PixelForum,es.codeurjc.backend.dto.post,PostMapper,0,80,2,12,0,24,2,9,0,4
PixelForum,es.codeurjc.backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
PixelForum,es.codeurjc.backend.security.jwt,UnauthorizedHandlerJwt,0,30,0,0,0,5,0,3,0,3
PixelForum,es.codeurjc.backend.security.jwt,AuthResponse.Status,0,15,0,0,0,2,0,1,0,1
PixelForum,es.codeurjc.backend.security.jwt,UserLoginService,12,208,1,1,3,49,1,7,0,7
PixelForum,es.codeurjc.backend.security.jwt,JwtTokenProvider,41,146,6,8,7,33,5,12,1,9
PixelForum,es.codeurjc.backend.security.jwt,LoginRequest,6,26,0,0,1,12,1,6,1,6
PixelForum,es.codeurjc.backend.security.jwt,JwtRequestFilter,0,54,0,0,0,15,0,3,0,3
PixelForum,es.codeurjc.backend.security.jwt,TokenType,0,32,0,0,0,7,0,2,0,2
PixelForum,es.codeurjc.backend.security.jwt,AuthResponse,36,18,0,0,14,7,6,4,6,4
PixelForum,es.codeurjc.backend.service,UserService,122,89,7,3,26,21,16,7,12,6
PixelForum,es.codeurjc.backend.service,DatabaseInitializer,0,437,0,6,0,64,0,7,0,4
PixelForum,es.codeurjc.backend.service,ImageService,0,132,0,12,0,26,0,14,0,8
PixelForum,es.codeurjc.backend.service,PostService,44,530,11,55,8,102,12,46,1,24
PixelForum,es.codeurjc.backend.service,CommentService,82,9,2,0,17,4,12,1,11,1
PixelForum,es.codeurjc.backend.service,TopicService,72,19,2,0,15,6,10,3,9,3
